col.0: MtotZAMS/Msun  col.1:num mergers
430669009.9262963 60
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_101345 42.2496 39.615 6.9335 5.547 12.4805 5374.9175 15.026 0.52604 16.5757 21.5657 0.9998 0.9996 82.23 -17.62 -3.653 95.07 18.94 7.778 5.397 5.974 True
0_796945 42.5277 40.4581 7.1041 5.5768 12.680900000000001 7655.6968 12.665 0.12567 30.7239 70.9716 0.9998 0.9982 140.4 11.6 -6.2 64.01 -42.91 -12.69 5.373 5.95 True
0_906195 47.2548 40.584 5.7829 5.6131 11.396 2061.1763 8.5598 0.18364 34.3956 58.4339 0.9997 0.9996 165.0 -64.4 5.582 71.85 45.06 -8.152 5.073 5.647 True
0_1506022 70.6547 20.2321 15.4545 7.1497 22.6042 11171.417 1820.8 0.99749 7.2273 38.2685 0.9927 -0.637 0.3234 0.4393 -1.939 15.7 0.1172 0.4212 4.303 8.593 False
0_1744636 30.1478 27.2138 4.8292 3.5183 8.3475 1410.5914 147.79 0.99003 12.6553 105.6387 0.994 -0.4516 4.344 -0.8368 -0.4047 61.62 -14.28 -3.057 6.804 8.462 True
0_2150861 65.667 56.1115 10.1763 8.3703 18.546599999999998 2918.9102 14.894 0.37386 7.6359 16.4723 1.0 0.9998 94.96 -0.2331 0.7344 50.61 -11.59 5.501 4.398 4.895 True
0_2278721 110.0671 68.8125 9.505 7.6266 17.1316 3550.2249 14.959 0.3932 8.4492 29.1531 1.0 1.0 95.5 -2.485 -0.1314 62.91 -6.172 -0.5296 3.881 4.395 True
0_2755776 92.9049 35.4423 22.2563 8.4213 30.677599999999998 228.6369 3074.5 0.99963 0.0 32.5824 1.0 -0.9691 0.2884 -0.02528 0.0 11.14 0.425 -0.04071 3.969 6.094 False
0_3097889 51.9534 44.3285 6.4597 6.5106 12.9703 9002.4834 16.589 0.46936 37.6582 45.1916 0.9999 0.9997 165.4 46.12 3.458 39.33 33.94 6.198 4.855 5.395 True
0_3770678 44.9559 42.241 6.9192 5.9067 12.8259 8173.5459 13.227 0.1817 23.9194 50.0543 1.0 0.9972 136.3 0.06068 -2.825 51.37 -11.56 17.77 5.199 5.764 True
1_97428 52.923 52.1364 5.7477 5.4204 11.168099999999999 18.1664 392.45 0.99917 16.9025 67.6138 0.9841 0.7786 14.59 0.1005 -4.15 38.68 13.79 0.5267 4.874 4.916 True
1_967599 50.9997 43.1331 5.9422 6.1369 12.0791 6307.25 21.327 0.71313 33.4612 50.2709 0.9994 0.9999 138.4 -53.16 -7.807 128.8 0.1857 -6.002 4.901 5.457 True
1_1003462 97.8416 63.9432 8.6411 6.9652 15.606300000000001 10523.4297 24.298 0.62036 13.0334 43.9863 0.9999 1.0 98.94 1.061 -3.414 56.71 -5.349 -0.3434 3.98 4.512 True
1_1032056 66.6665 64.2398 9.1435 7.9452 17.0887 7872.7817 2939.5 0.99896 18.818 16.2965 0.9879 0.7033 -1.144 2.55 -5.181 8.112 -4.319 -0.2531 4.415 4.484 True
1_1402927 66.0789 57.1627 10.0593 8.5886 18.6479 2317.126 12.707 0.17716 2.576 31.0541 1.0 0.9996 95.31 -1.398 0.4791 41.97 7.263 -7.401 4.385 4.878 True
1_2401335 34.9171 20.3624 8.8673 6.1978 15.065100000000001 1275.0698 1965.4 0.9993 31.8691 47.5684 0.6754 -0.8951 7.843 -1.278 5.433 21.09 -11.41 0.2041 6.092 9.34 False
1_2532343 76.8201 31.7753 13.0933 5.2421 18.3354 1105.2957 371.71 0.9943 5.1133 90.9211 0.9982 -0.4034 0.03912 0.2172 -0.7605 34.94 10.1 -1.536 4.199 6.887 True
1_2548539 55.8097 42.5579 9.9526 10.3616 20.3142 6195.77 8471.5 0.99967 19.6622 13.6126 0.9997 -0.993 1.26 -2.923 0.2344 7.504 -1.62 -0.01731 4.709 5.564 False
1_3040774 50.1024 42.6844 5.5309 6.0224 11.5533 5325.2847 12.738 0.42668 54.9784 43.3321 0.9979 0.9998 114.2 -7.714 10.78 85.64 -32.75 6.291 4.939 5.499 True
1_3230026 47.1205 41.2352 6.2161 5.6043 11.8204 7869.3101 14.506 0.44032 32.5786 48.2995 1.0 0.9995 147.7 3.401 2.342 87.11 -0.1589 -7.765 5.089 5.664 True
1_3369195 73.8596 53.5126 5.8376 5.4742 11.3118 2246.8943 9.2201 0.30763 33.8402 96.0336 0.9997 0.9874 175.7 3.766 7.459 97.22 1.114 -32.45 4.28 4.86 True
1_3571402 53.0601 44.4796 10.1715 11.3001 21.471600000000002 1138.0848 14657.0 0.99992 35.2652 12.0119 0.704 -0.5399 4.95 3.712 -5.201 5.367 -3.669 -0.07139 4.81 5.206 False
1_3601737 66.2411 33.9238 16.2222 8.0561 24.2783 6.3745 4431.6 0.99998 3.9077 27.3233 0.9985 0.2264 0.5038 0.6082 0.707 10.17 3.544 0.03967 4.388 6.179 False
2_775418 80.7621 41.4989 15.4716 6.0433 21.5149 7166.416 399.12 0.98784 0.0 70.865 1.0 0.9999 0.34 -0.000248 -0.0 28.87 -1.663 -0.03529 4.123 5.905 True
2_889533 92.2178 61.5389 8.2286 6.6297 14.8583 5317.3452 12.955 0.10852 18.3716 25.81 0.9999 0.9992 104.5 3.425 -3.448 63.54 -0.3412 8.806 4.037 4.579 True
2_1218054 77.4469 67.1785 12.4179 10.3951 22.813 2631.3215 16.003 0.2861 0.0 12.3807 1.0 0.9998 78.18 0.9264 0.0 32.24 6.121 -5.302 4.168 4.628 True
2_1604366 48.4907 46.8088 6.6762 5.6715 12.3477 5401.8916 558.69 0.99519 39.1088 34.0736 0.9279 -0.3455 21.39 2.076 -4.0 19.96 -3.141 -1.741 5.045 5.146 True
2_1627996 23.1067 22.1315 5.4681 3.2849 8.753 1895.4658 407.95 0.99662 53.1997 80.0854 0.1544 -0.8149 13.59 7.435 5.653 53.92 -10.04 0.6158 8.644 9.0 True
2_1755382 24.3903 24.1469 6.1612 3.5626 9.7238 4861.5078 22.591 0.8119 36.3393 108.4121 0.6887 0.9976 14.82 5.407 -0.6172 129.1 7.48 -22.5 8.194 8.283 False
2_2769326 97.9527 28.6676 14.6651 5.9722 20.6373 33.2045 347.26 0.99795 0.0 84.2952 1.0 0.3031 0.4473 -0.00894 -0.0 33.73 4.961 -0.9657 3.95 7.097 True
2_3149412 51.464 43.4836 5.9628 6.1921 12.1549 3631.259 14.404 0.58029 23.3808 28.6227 1.0 0.9993 157.7 -63.32 0.06932 87.67 -34.89 11.91 4.877 5.432 True
2_3368777 47.6454 38.5157 3.1733 3.1871 6.3604 13215.1377 10.067 0.40255 47.7184 73.3714 0.9998 0.991 270.7 7.69 -5.064 111.6 48.78 31.38 5.119 5.818 True
2_3870439 59.3352 56.9308 7.4075 6.1397 13.5472 2616.8953 265.81 0.99027 30.3308 65.3804 0.9883 0.8515 9.82 -0.09387 -10.62 36.73 6.028 -2.025 4.623 4.724 True
2_3960087 60.0383 41.9798 11.3271 5.636 16.9631 198.4806 302.94 0.99603 15.0852 82.4894 0.9955 -0.1435 3.741 1.571 -1.095 38.21 0.1993 -1.516 4.559 5.545 True
3_437356 41.5138 24.1784 4.3613 4.5117 8.873000000000001 10.5243 135.32 0.99856 35.4615 96.6576 0.9027 0.9977 4.392 1.269 2.183 64.44 8.945 -0.105 5.521 8.555 True
3_669051 94.3874 62.9927 7.7773 6.8299 14.6072 4264.4189 12.732 0.25434 9.4207 38.0565 1.0 0.9996 140.4 1.575 1.459 45.53 -7.256 -8.023 4.003 4.539 True
3_1050009 37.5648 34.0994 6.0479 3.1385 9.1864 30.6091 89.71 0.9946 23.7242 184.7856 0.9996 0.5588 35.34 8.383 -2.954 87.14 -27.24 4.205 5.814 6.251 True
3_1208794 49.0436 45.1697 7.3807 5.0678 12.4485 10367.9102 155.19 0.97251 34.7724 73.2514 0.9879 0.6311 14.1 5.028 11.99 41.99 2.13 4.64 5.007 5.249 True
