col.0: MtotZAMS/Msun  col.1:num mergers
430526789.57950795 6173
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_1824 78.7776 28.7983 22.879 20.2184 43.0974 12296.0938 35.38 0.011602 0.0 0.0 1.0 1.0 1.96 0.0 -0.0 2.968 0.0 0.0 4.131 7.183 False
0_3397 50.0277 16.4203 14.4022 11.7665 26.1687 3232.6101 17.37 0.077535 0.0 4.6694 1.0 1.0 3.074 0.0 0.0 18.98 -0.3939 1.698 5.067 9.272 False
0_7820 97.1433 32.1595 26.3694 22.6333 49.0027 3202.3721 27.627 0.010204 0.0 0.0 1.0 1.0 1.96 0.0 -0.0 3.193 0.0 -0.0 3.885 6.779 False
0_13748 91.9424 29.4775 24.0966 21.0474 45.144 645.8555 17.374 0.011076 0.0 0.0 1.0 1.0 2.174 0.0 -0.0 4.161 0.0 -0.0 3.956 6.965 False
0_14116 82.352 35.2994 23.626 22.6044 46.2304 7995.623 33.424 0.010815 0.0 0.0 1.0 1.0 1.784 0.0 0.0 2.838 0.0 0.0 4.072 6.743 False
0_19197 70.5426 27.7032 20.1902 19.2165 39.4067 3029.4009 23.168 0.012688 0.0 0.0 1.0 1.0 2.182 0.0 -0.0 3.702 0.0 -0.0 4.308 7.387 False
0_22431 75.5628 24.0302 19.7068 18.1206 37.8274 199.6627 11.281 0.013218 0.0 0.0 1.0 1.0 2.54 0.0 -0.0 5.506 -0.0 -0.0 4.225 7.528 False
0_24089 72.3045 24.3526 20.7059 18.1314 38.8373 3371.2251 23.515 0.012874 0.0 0.0 1.0 1.0 2.348 0.0 0.0 3.851 -0.0 0.0 4.267 7.608 False
0_24158 61.4863 21.7229 17.6614 16.2506 33.912 2102.2661 18.885 0.014744 0.0 0.0 1.0 1.0 2.586 0.0 -0.0 4.493 0.0 0.0 4.565 8.119 False
0_25919 89.8699 29.0733 24.4463 20.8859 45.3322 1945.2665 23.001 0.01103 0.0 0.0 1.0 1.0 2.144 -0.0 -0.0 3.646 -0.0 0.0 3.974 7.017 False
0_32022 74.3529 31.7405 21.6716 20.6734 42.345 13080.7998 35.503 0.011808 0.0 0.0 1.0 1.0 1.828 0.0 -0.0 2.882 0.0 0.0 4.217 7.055 False
0_34097 31.04 28.2078 18.9048 3.6728 22.5776 171.1701 40.936 0.9465 23.6476 86.016 0.9837 0.7495 10.76 1.221 0.04504 14.73 -10.39 6.161 7.054 7.69 True
0_37466 82.0985 28.3034 23.6928 20.3786 44.0714 9945.6729 34.058 0.011345 0.0 0.0 1.0 1.0 1.996 0.0 -0.0 3.029 0.0 -0.0 4.075 7.168 False
0_40302 53.2025 19.4512 15.3894 14.4459 29.8353 6638.1987 22.945 0.016759 0.0 0.0 1.0 1.0 2.556 0.0 -0.0 4.304 -0.0 0.0 4.898 8.712 False
0_40458 86.7312 31.5848 24.8274 21.8265 46.6539 10054.707 35.657 0.010717 0.0 0.0 1.0 1.0 1.87 0.0 0.0 2.848 -0.0 0.0 4.005 6.91 False
0_41861 74.8084 23.6773 21.0307 17.7546 38.7853 1994.4199 20.584 0.012891 0.0 0.0 1.0 1.0 2.469 0.0 -0.0 4.19 0.0 -0.0 4.218 7.606 False
0_43011 47.6218 13.5718 12.9516 9.4054 22.357 13303.6699 22.287 0.13004 10.5847 25.4437 1.0 0.9993 5.675 -1.79 -0.6102 34.09 7.086 7.987 5.213 9.872 False
0_44515 76.0049 24.635 20.393 18.3617 38.7547 536.407 14.788 0.012902 0.0 0.0 1.0 1.0 2.478 0.0 0.0 4.799 0.0 0.0 4.207 7.489 False
