col.0: MtotZAMS/Msun  col.1:num mergers
430491389.7510028 42
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_232221 53.6725 44.7533 5.0878 5.3043 10.3921 7527.6895 11.576 0.2815 43.7822 70.4599 0.9995 0.9991 129.5 36.61 -5.382 87.39 43.2 -7.828 4.767 5.323 True
0_514630 132.1328 32.2218 14.0669 4.8194 18.8863 177.147 442.04 0.99751 0.0 85.3405 1.0 -0.5277 0.3761 -0.005654 -0.0 30.49 8.875 -0.7935 3.775 6.683 True
0_1527352 57.6005 46.26 5.4691 5.3469 10.815999999999999 8916.9004 31.386 0.82903 34.6518 50.0158 0.9994 1.0 141.8 -61.28 6.151 94.78 -2.707 0.6548 4.616 5.175 True
0_1712985 116.4584 24.4979 12.1587 4.2003 16.359 10934.5928 3182.9 0.99905 6.9038 121.6124 0.9964 0.4892 1.907 -0.06782 -1.218 32.26 -24.28 1.552 3.852 7.365 True
0_1751270 53.0046 24.9424 4.59 3.7672 8.357199999999999 3762.7249 167.88 0.98753 41.8664 79.9502 0.9976 0.987 1.338 1.465 0.6821 52.13 6.164 0.5695 4.856 7.922 True
0_2311834 80.965 77.8141 8.2792 7.3009 15.5801 4.3286 7599.7 1.0 22.8327 24.0988 0.9994 0.9987 2.407 -9.19 0.8169 11.38 4.616 0.001477 4.173 4.229 True
0_2442262 88.3333 66.4293 15.1313 7.7805 22.9118 11778.3252 897.25 0.99401 0.0 54.3704 1.0 0.2781 0.208 0.05079 -0.0 22.59 4.263 1.288 4.035 4.576 True
1_2409375 97.6167 93.0653 8.9107 7.6912 16.6019 2306.8557 550.33 0.99537 35.3339 43.0849 0.9696 0.0544 3.413 -5.555 13.12 23.5 -4.046 1.696 4.002 4.061 True
1_2426480 89.5234 24.1394 11.4074 3.0008 14.4082 3858.5796 467.11 0.99464 6.3857 100.9358 0.9988 -0.4348 1.216 -1.407 -0.5468 31.91 -12.34 -1.192 4.046 7.654 True
1_2679648 90.8778 23.9968 9.4299 3.9785 13.4084 4925.7041 309.19 0.9904 21.2925 82.466 0.9936 0.0719 1.6 -1.825 1.978 36.67 -8.233 -2.044 4.051 7.544 True
