col.0: MtotZAMS/Msun  col.1:num mergers
430582573.8796976 73
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_1004298 26.6238 20.1901 10.6194 4.4421 15.0615 1760.286 1957.9 0.99922 23.8956 76.8502 0.9822 -0.1111 12.57 -4.458 -2.553 20.78 -20.17 -0.567 7.911 10.65 False
0_1644514 36.4327 18.828 14.056 7.719 21.775 6841.0249 835.78 0.99477 4.6021 60.5191 0.998 0.96 0.6514 0.9134 0.9107 24.5 9.739 0.4124 6.107 10.5 True
0_1812237 28.8334 28.3332 12.4161 5.7694 18.1855 1191.0039 10.778 0.29956 40.5392 28.8253 0.7986 0.9998 18.86 -2.902 0.8664 91.15 -4.572 -4.996 7.361 7.475 False
0_2077777 47.6732 19.794 11.4916 4.7186 16.2102 926.1921 210.86 0.99033 12.8226 96.9336 0.9938 0.5625 4.084 -1.988 -2.169 42.5 6.77 -2.106 5.151 9.339 True
0_2411740 29.018 28.612 4.9554 4.2809 9.2363 89.9946 303.41 0.9985 72.5674 45.5572 0.764 -0.9775 38.89 1.787 7.011 22.33 7.961 -0.3197 7.321 7.412 True
0_3789711 36.5668 36.5322 4.737 4.636 9.373000000000001 1787.7988 49.62 0.95227 71.5192 62.9834 0.9994 0.9906 52.57 13.5 -5.853 45.56 7.068 -2.01 6.155 6.16 True
1_14977 47.0502 44.2793 10.9662 12.1967 23.1629 150.6822 7.4742 0.17089 0.0 5.404 1.0 1.0 89.57 19.48 -0.0 22.79 -5.126 1.819 5.168 5.65 True
1_353831 38.0639 32.9085 4.8761 3.8294 8.7055 6962.8687 13.407 0.59018 72.8366 59.9847 0.9999 0.9927 183.5 20.14 -4.4 97.66 40.36 25.33 5.948 6.65 True
1_607065 47.135 44.5959 10.9313 12.4762 23.4075 102.8364 6.6506 0.054498 0.0 10.6359 1.0 1.0 71.31 -1.881 0.0 24.46 -5.455 -1.664 5.161 5.639 True
1_745782 146.219 27.3697 26.1004 4.0781 30.1785 4194.2407 1672.9 0.99787 0.0 59.3668 1.0 -0.9897 0.465 0.0 0.0 12.7 3.824 0.04582 3.605 7.711 True
1_1087677 39.8513 13.3591 6.6586 4.5297 11.1883 7984.2114 156.36 0.97731 30.9549 94.0242 0.9989 0.8368 4.208 -4.263 0.8507 53.7 -10.72 2.918 5.773 10.81 True
1_1236133 28.6653 21.3729 12.4886 4.4869 16.9755 1268.4969 410.99 0.9952 26.9668 88.6339 0.9475 0.2506 8.761 6.315 -5.363 51.43 -11.63 1.12 7.399 9.874 True
1_1593565 53.1141 49.8982 13.137 14.5319 27.6689 147.6601 8.486 0.16515 0.0 0.0 1.0 1.0 80.35 14.43 -0.0 7.065 -1.063 -0.0 4.846 5.296 True
1_1654438 50.0936 34.8896 9.2028 4.2191 13.4219 5268.1753 201.15 0.98338 32.0961 101.1558 0.9891 -0.7261 -0.457 -3.75 3.411 47.77 2.769 2.245 5.05 6.372 True
1_2209092 44.6759 42.7057 9.1089 11.8343 20.9432 138.8979 6.7162 0.14955 7.6368 13.7168 1.0 1.0 102.9 41.52 1.461 20.27 4.148 2.412 5.326 5.813 True
1_2629104 27.3583 26.8057 3.8576 3.0917 6.9493 13924.3721 156.65 0.9822 95.0992 75.14 0.4624 -0.2319 46.3 9.649 -9.581 46.32 32.67 -7.465 7.718 7.875 True
1_2728994 26.9061 23.124 6.8899 4.0043 10.8942 804.0393 136.64 0.98896 37.2937 168.4198 0.7668 -0.4185 8.159 1.55 5.09 75.48 -35.07 4.919 7.834 10.23 True
1_3277635 45.767 22.2916 15.1445 11.8875 27.032 2524.0872 1771.0 0.99816 3.9672 44.4757 0.9998 0.9628 0.5926 1.253 0.3606 22.48 6.705 -0.2102 5.258 8.827 False
1_3366451 36.1742 31.4123 3.1353 3.2363 6.3716 6717.8848 29.967 0.90136 96.9692 51.6141 0.9979 0.9993 305.6 -13.55 19.1 197.1 57.35 15.74 6.181 6.923 True
1_3406132 46.6348 39.025 6.0741 5.4254 11.4995 1321.9216 7.672 0.17099 27.4409 48.2727 1.0 0.9997 161.7 6.601 3.007 100.7 -22.72 5.75 5.253 5.88 True
1_3584189 46.2373 41.2868 10.9588 10.2615 21.2203 108.8789 6.5801 0.2318 0.0 23.808 1.0 0.9996 125.5 -0.2251 0.0 44.24 -4.871 10.47 5.22 5.729 True
1_3737359 49.4879 45.5785 11.9928 12.8287 24.8215 104.4291 7.5972 0.30275 0.0 6.582 1.0 1.0 111.7 -19.38 0.0 17.64 -6.307 -3.282 5.028 5.502 True
1_3837930 43.7772 39.1646 10.0533 9.3773 19.4306 141.3526 6.3044 0.074909 5.9477 11.5001 1.0 1.0 128.1 34.67 -0.9141 42.33 -0.09876 2.672 5.391 5.914 True
1_3920338 43.54 39.0625 13.4336 7.0597 20.4933 5002.022 16.424 0.22031 6.3838 7.9445 1.0 1.0 10.09 0.0188 3.003 64.59 1.428 0.6606 5.416 5.812 True
2_31720 41.1836 39.8682 7.3973 6.0613 13.4586 1370.558 231.47 0.99116 58.0691 53.696 0.998 0.8941 31.18 -11.05 -1.415 25.81 14.03 -1.574 5.643 5.798 True
2_288361 35.4856 35.1012 4.7404 4.3035 9.0439 2150.8328 18.386 0.82227 88.2251 84.8628 0.9987 0.9997 83.82 -12.45 12.96 72.16 26.83 1.277 6.281 6.341 True
2_1168258 63.254 28.0713 24.6945 13.162 37.856500000000004 1804.9692 6793.9 0.99958 0.0 38.2773 1.0 -0.5521 0.2662 0.01043 0.0 10.56 10.49 -0.1734 4.483 7.243 False
2_1202690 41.7218 22.7922 15.0364 10.4547 25.491100000000003 639.2688 53160.0 0.99999 0.0 47.124 1.0 0.7567 0.223 0.01455 0.0 18.06 12.64 0.1268 5.559 8.648 False
2_1367362 39.2432 21.6934 10.9056 5.1218 16.0274 13839.041 335.13 0.98542 9.9229 118.0704 0.9983 0.5575 3.36 1.131 -0.5249 43.19 -24.07 3.538 5.792 9.463 True
2_1618423 33.7495 30.7526 14.7083 13.4958 28.204099999999997 1138.3142 5804.0 0.9997 6.3689 26.4902 0.9667 0.5525 2.353 0.7013 1.135 13.01 6.269 0.1475 6.469 6.953 False
2_1757767 60.1051 28.7159 13.3717 3.4985 16.8702 614.5358 1549.4 0.99943 4.7203 78.3553 0.9986 -0.4298 0.9377 -0.03889 -1.449 20.87 11.89 0.3333 4.615 7.411 True
2_1988548 125.4236 30.1747 24.3389 5.6023 29.9412 12108.9443 1318.3 0.99566 0.0 47.3958 1.0 0.9146 0.4519 0.0 -0.0 13.95 -0.6159 0.2328 3.698 7.079 True
2_2222029 54.1878 44.3437 7.8395 7.168 15.0075 575.5311 7.4342 0.074291 14.7631 11.1722 1.0 1.0 142.8 -4.685 -1.656 65.11 0.4272 2.994 4.84 5.413 True
2_2356683 45.8135 45.0604 9.9702 12.9506 22.9208 493.9143 10.086 0.19472 7.3507 6.9023 1.0 1.0 88.69 8.945 2.266 9.996 -4.957 1.11 5.257 5.73 True
2_2541600 30.3689 30.3583 3.0253 3.0079 6.0332 10802.1631 25.881 0.86746 228.833 136.0244 0.9914 0.998 155.6 -3.855 7.241 188.0 -137.3 16.83 7.12 7.122 True
2_2603316 29.9445 29.3244 12.6962 7.4207 20.1169 1261.7314 1049.5 0.9981 28.4742 49.4651 0.8264 0.6995 7.458 8.987 -2.752 28.49 -3.504 -0.5337 7.125 7.245 True
