col.0: MtotZAMS/Msun  col.1:num mergers
215320615.9660015 24327
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_526 75.1587 33.6683 26.1035 25.6875 51.791 12982.498 41.214 0.0096542 0.0 0.0 1.0 1.0 1.785 0.0 0.0 2.382 0.0 -0.0 4.184 6.921 False
0_864 30.7892 16.4028 6.2753 7.7914 14.0667 12445.0967 15.51 0.12424 49.6953 33.1063 0.9678 0.9999 11.07 -5.84 4.741 61.29 -8.721 3.385 7.145 11.78 True
0_975 110.0511 48.4911 35.7494 33.9794 69.7288 96.9754 14.81 0.01916 0.0 0.0 1.0 1.0 5.556 0.0 -0.0 9.307 0.0 -0.0 3.733 6.019 False
0_1535 27.1738 11.6614 4.84 4.0957 8.9357 2616.4524 7.6493 0.21755 59.1699 82.4579 0.9509 0.9996 18.91 -3.037 -2.203 153.8 -16.77 7.885 7.996 14.38 True
0_1572 58.5004 19.3398 18.9226 16.5893 35.5119 1071.7843 16.493 0.01408 0.0 0.0 1.0 1.0 3.075 -0.0 -0.0 4.807 0.0 -0.0 4.672 8.471 False
0_1589 42.7057 12.9489 12.3918 9.7051 22.096899999999998 7844.4453 19.081 0.044112 9.7789 25.7659 0.9998 0.9999 10.17 -0.2336 2.314 41.45 -5.484 -3.344 5.589 10.46 True
0_2183 84.6735 48.1375 28.9387 32.6021 61.540800000000004 833.5637 23.397 0.013744 0.0 0.0 1.0 1.0 1.663 0.0 0.0 4.576 -0.0 -0.0 4.019 6.129 False
0_2550 25.5191 18.1847 3.8608 7.5139 11.374699999999999 11351.8008 13.836 0.33466 38.649 14.9241 0.9961 0.9997 13.75 -2.006 -1.76 46.32 5.284 -8.297 8.496 12.33 True
0_2641 24.6262 11.4039 3.0415 3.9782 7.0197 2012.5979 6.7842 0.42034 84.2142 68.1804 0.985 1.0 23.46 -0.7258 5.396 162.3 20.05 2.848 8.814 14.91 True
0_2735 43.2394 14.2541 12.8449 10.8488 23.6937 11181.8291 22.116 0.067587 3.8248 23.8777 1.0 0.9992 8.445 0.3442 0.7217 26.59 5.146 -8.978 5.543 10.18 True
0_3012 39.167 13.5544 9.7229 8.8822 18.6051 12373.6494 19.439 0.17804 20.2228 8.4998 0.9994 1.0 20.1 2.216 2.928 38.24 -3.815 1.229 5.933 10.78 True
0_3730 28.4799 10.3984 4.5731 3.8896 8.4627 5886.2041 12.552 0.58818 69.0005 43.063 0.9842 0.9989 22.59 -6.479 6.351 129.7 11.93 -15.44 7.666 14.01 True
0_4242 27.8307 20.5022 4.964 8.6337 13.5977 10482.1826 16.203 0.38381 72.0778 37.5441 0.9375 0.9995 15.42 6.698 4.287 20.57 -6.488 -11.62 7.819 11.24 True
0_4640 50.6054 16.8562 16.4559 15.0228 31.4787 2162.7371 17.983 0.015884 0.0 0.0 1.0 1.0 3.12 0.0 0.0 4.797 0.0 -0.0 5.034 9.186 False
0_4796 56.3135 20.1983 18.6785 17.3911 36.0696 9289.5137 28.83 0.013862 0.0 0.0 1.0 1.0 2.49 0.0 0.0 3.506 0.0 -0.0 4.751 8.487 False
0_5293 32.3881 13.8923 6.8746 6.7348 13.6094 9574.541 14.435 0.18451 28.459 40.9262 0.9976 0.9982 10.46 3.709 2.072 73.7 -6.044 -14.97 6.848 12.06 True
0_6231 24.8292 10.9055 3.4135 3.5406 6.9541 919.5338 4.8966 0.22813 57.9568 125.2237 0.9763 0.9998 26.87 -3.759 4.566 207.1 26.03 -6.539 8.732 15.38 True
0_6871 26.6206 15.777 4.4368 6.3344 10.7712 13201.1514 13.142 0.2039 15.3099 57.7088 0.9951 0.9963 13.05 -3.728 1.487 81.77 -7.882 24.5 8.154 13.0 True
0_7583 33.4748 13.1948 7.6107 6.6844 14.2951 8648.0801 14.203 0.077853 38.5188 52.5521 0.9726 0.9997 10.99 2.116 6.95 81.84 -10.15 5.08 6.664 12.08 True
0_7653 37.0444 31.9296 8.0468 5.1832 13.23 8595.457 15.306 0.39306 13.1543 89.6253 0.9996 1.0 26.0 1.259 2.084 90.54 -35.11 0.2792 6.186 6.964 True
0_8174 25.3336 20.5517 3.7317 7.9073 11.639 2505.4817 8.8879 0.20542 39.8985 26.5658 0.9995 0.9999 15.29 3.124 0.5184 65.9 0.3756 4.471 8.558 11.68 True
0_8289 73.678 28.5837 22.6162 24.4304 47.0466 83.1235 10.53 0.010628 0.0 0.0 1.0 1.0 2.422 0.0 -0.0 4.715 0.0 0.0 4.247 7.236 False
0_8426 24.132 13.8571 3.6351 4.8696 8.5047 12823.1992 12.314 0.39873 70.4627 48.1912 0.9433 0.9974 16.54 3.787 2.511 101.5 -0.7647 22.77 8.985 14.42 True
0_8430 25.9638 17.3869 3.8348 6.3568 10.1916 1510.0175 7.0528 0.1322 45.6318 90.0457 0.9983 0.9963 17.69 4.337 1.226 117.3 11.23 -31.89 8.357 12.41 True
0_9596 86.487 44.294 30.3132 31.5452 61.8584 4960.373 36.8 0.0083001 0.0 0.0 1.0 1.0 1.617 -0.0 0.0 2.302 0.0 0.0 3.986 6.268 False
0_9607 28.1685 13.752 4.9405 5.5538 10.494299999999999 9864.7881 13.677 0.41061 62.7595 58.3727 0.9972 0.9952 17.16 -8.462 -1.478 84.27 -3.71 30.59 7.734 13.17 True
0_9794 25.5352 9.2854 3.8289 3.2942 7.1231 7106.7876 9.2263 0.38913 41.9795 74.9158 0.9996 0.9973 25.02 4.625 0.7778 161.4 11.18 19.73 8.491 15.99 True
0_9976 44.1987 14.7432 13.5856 11.782 25.3676 1731.4635 14.557 0.089933 4.1916 6.8416 1.0 1.0 5.639 0.426 -0.8237 19.39 -1.546 0.9365 5.466 9.994 False
0_10217 64.7195 21.5751 20.915 18.3352 39.2502 922.3651 17.119 0.012739 0.0 0.0 1.0 1.0 2.883 0.0 -0.0 4.488 -0.0 -0.0 4.462 8.02 False
0_10394 23.7501 11.8514 3.1748 3.6185 6.7933 4766.3062 13.567 0.73401 40.4652 39.6373 0.9991 0.9995 24.07 -1.734 -0.5739 142.2 -15.77 -12.95 9.134 15.47 True
0_10552 108.8963 55.4094 35.2751 35.3277 70.6028 1995.4004 32.342 0.025453 0.0 0.0 1.0 1.0 4.67 0.0 0.0 8.206 0.0 0.0 3.741 5.794 False
0_10909 69.0274 33.2976 23.3047 24.829 48.133700000000005 1833.3907 23.735 0.010388 0.0 0.0 1.0 1.0 2.049 0.0 0.0 3.127 -0.0 -0.0 4.332 7.031 False
0_10967 26.4059 13.9714 4.1547 5.6439 9.7986 5776.627 9.6469 0.10611 75.668 82.6801 0.9686 0.9968 15.78 -5.699 -5.687 114.2 -6.921 -22.4 8.219 13.48 True
0_11504 64.5064 26.6662 21.6879 21.3427 43.0306 2455.4189 23.483 0.01162 0.0 0.0 1.0 1.0 2.334 -0.0 0.0 3.461 -0.0 0.0 4.457 7.604 False
0_11552 24.1296 20.8164 3.8049 7.9433 11.7482 6337.23 12.221 0.34513 77.4275 26.4261 0.598 0.9995 12.04 -7.407 2.646 39.7 10.79 12.97 8.987 12.0 True
0_11865 27.3854 20.1124 4.648 8.8638 13.5118 5289.104 11.887 0.14874 87.6785 26.3264 0.9962 0.9996 10.56 -8.61 1.258 50.27 -3.919 10.11 7.939 11.39 True
