col.0: MtotZAMS/Msun  col.1:num mergers
430608671.0933955 94
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_90530 53.3076 47.5996 10.0075 9.2818 19.2893 1130.8055 11.001 0.2028 3.8032 25.4494 1.0 1.0 90.55 0.8585 0.6164 52.37 -18.27 1.537 4.816 5.319 True
0_512434 49.3782 22.7558 9.1451 3.3969 12.542 1611.9796 226.04 0.99142 19.3107 94.9941 0.9925 0.9086 5.93 -2.5 1.185 41.15 11.44 -0.8928 5.021 8.572 True
0_619844 30.0029 28.097 9.0304 3.7952 12.8256 7200.9546 12.091 0.13696 38.1478 82.3376 0.9049 0.9939 13.37 -1.47 0.4159 119.2 8.145 -16.65 6.962 7.338 False
0_698921 64.6344 41.2831 9.8836 4.6098 14.4934 5.7302 230.6 0.99962 14.8046 93.4111 0.9991 0.6782 2.017 -2.735 -0.7284 43.2 8.12 0.3698 4.485 5.616 True
0_922640 57.8737 54.7673 11.1508 11.8177 22.9685 899.4143 11.552 0.12101 0.0 11.7798 1.0 1.0 80.36 1.555 -0.0 15.2 2.299 -0.7001 4.634 5.097 True
0_1138247 57.7443 54.0683 11.2777 11.5145 22.7922 982.2063 11.799 0.14001 0.0 13.3931 1.0 1.0 73.11 0.1285 -0.0 29.24 7.692 0.6515 4.642 5.108 True
0_1231703 40.883 16.183 5.3285 4.0943 9.422799999999999 9738.2695 209.93 0.98533 65.0386 109.823 0.9986 0.5255 2.71 -8.647 0.5025 56.9 -26.87 4.267 5.622 10.01 True
0_1607739 54.5124 51.2608 9.798 10.7175 20.5155 795.299 10.39 0.16008 7.092 21.6498 1.0 1.0 95.36 2.352 0.8289 43.62 -5.993 0.2433 4.763 5.241 True
0_1685247 28.2112 19.0637 3.5348 3.1453 6.6801 7582.3716 192.22 0.98892 71.1005 146.8679 0.0456 -0.9953 8.842 -3.44 -3.759 80.14 39.47 0.5731 7.351 10.95 True
0_1781084 41.1609 40.4408 5.2726 4.6545 9.9271 11792.7627 44.125 0.88898 82.2094 124.7988 0.9974 0.9541 49.5 21.67 -4.066 76.91 38.06 7.053 5.603 5.708 True
0_1914952 47.6509 43.2072 7.3507 8.072 15.422699999999999 4165.3457 12.864 0.19615 9.392 15.0165 1.0 0.9998 118.0 -0.9284 -1.492 42.11 -3.095 6.061 5.106 5.633 True
0_1939128 56.3975 50.6913 11.0941 10.3343 21.4284 452.0154 9.1011 0.030622 0.0 10.3776 1.0 0.9999 72.73 10.39 0.0 35.96 -0.749 -4.708 4.684 5.169 True
